strategy,n_chunks,n_queries,recall_at_5,recall_at_10,mrr_at_10,latency_p50_ms,latency_p70_ms,latency_p100_ms
canonical,1500,100,0.17,0.23,0.11113492063492064,3.4091875022568274,3.736266196210636,5.475457997818012
sentence_window,5223,100,0.14,0.19,0.08367857142857144,3.866853498038836,4.166466196329566,6.046167000022251
fixed_token,1522,100,0.17,0.23,0.11246825396825397,2.869395997549873,3.1018000991025474,4.505124998104293
semantic,2030,100,0.18,0.21,0.1093888888888889,3.0752085040148813,3.3032204992196057,4.426457999215927
parent_child,1585,100,0.17,0.24,0.11371825396825397,2.9572920029750094,3.129966900451109,4.5012499977019615
